Comment,Description,Designator,Footprint,LibRef,Manufacturer 1,Manufacturer Part Number 1,Quantity,Supplier 1
,,,,,,,,
0.1UF 50V X7R,CAP CER 0.1UF 50V X7R 1206 YAGEO CC1206KRX7R9BB104,"C4, C5",C1206YageoX7R,CC1206KRX7R9BB104,Yageo,CC1206KRX7R9BB104,2,Digi-Key
1UF 25V X7R,CAP CER 1UF 25V X7R 1206 Yageo CC1206KKX7R8BB105,"C6, C7, C8, C9",C1206YageoX7R,CC1206KKX7R8BB105,Yageo,CC1206KKX7R8BB105,4,Digi-Key
600V 4A Bridge Rect,RECT BRIDGE GP 600V 4A Z4-D ComChip Z4DGP406L-HF,D1,Z4DGP406L-HF,Z4DGP406L-HF,Comchip Technology,Z4DGP406L-HF,1,Digi-Key
Optocoupler,OPTOISO 5KV TRANS W/BASE 6SMD  Lite-On CNY17-1S,"D2, D3",CNY17-1S,CNY17-1S,Lite-On Inc.,CNY17-1S,2,Digi-Key
JST 3-PIN,CONN HEADER XH TOP 3POS 2.5MM JST B3B-XH-A(LF)(SN),"J1, J3, J7, J9",B3B-XH-A(LF)(SN),B3B-XH-A(LF)(SN),JST Sales America Inc.,B3B-XH-A(LF)(SN),4,Digi-Key
B2B-XH-A(LF)(SN),CONN HEADER XH TOP 2POS 2.5MM  JST B2B-XH-A(LF)(SN),"J2, J4, J12, J13, J14, J15, J16, J17, J19, J20",77311-118-02LF,B2B-XH-A(LF)(SN),JST Sales America Inc.,B2B-XH-A(LF)(SN),10,Digi-Key
3220-10-0100 SWD,"HiRose 3220-10-0100 BOX HEADER, 0.050 10 POS",J5,3220-10-0100,3220-10-0100-00,CNC Tech,3220-10-0100-00,1,Digi-Key
B4B-XH-A(LF)(SN),CONN HEADER XH TOP 4POS 2.5MM JST B4B-XH-A(LF)(SN),"J6, J8",B4B-PH-K-S(LF)(SN),B4B-XH-A(LF)(SN),JST Sales America Inc.,B4B-PH-K-S(LF)(SN),2,Digi-Key
EM250502V,TERM BLOCK 16A 300V 12-26AWG Eaton Bussman EM250502V,"J10, J11",EM250502V,EM250502V,Eaton Bussmann,EM250502V,2,Digi-Key
B4B-PH-K-S(LF)(SN),,"J18, J21",B4B-PH-K-S(LF)(SN),B4B-PH-K-S(LF)(SN),JST Sales America Inc.,B4B-PH-K-S(LF)(SN),2,Digi-Key
RED,LED RED CLEAR 0603 SMD LITE-ON LTST-C190EKT,"LD1, LD2",LED0603,LTST-C190EKT,Lite-On Inc.,LTST-C190EKT,2,Digi-Key
N-CH 60V,"MOSFET N-CH 60V LFPAK NXP PSMN7R0-60YS,115","Q1, Q2",SOT669,"PSMN7R0-60YS,115",NXP Semiconductors,"PSMN7R0-60YS,115",2,Digi-Key
1K 1%,Resistor 1K 1% 0603 CRCW06031K00FKEAHP,"R1, R3, R6, R9",12Z-2010,CRCW06031K00FKEAHP,Vishay Dale,CRCW06031K00FKEAHP,4,Digi-Key
4.7K 1%,Resistor 4.7K 1% 0603 Vishay CRCW06034K70FKEAHP,"R2, R4",J1-0603,CRCW06034K70FKEAHP,Vishay Dale,CRCW06034K70FKEAHP,2,Digi-Key
10 1%,Resistor 10 1% 0603 Vishay CRCW060310R0FKEAHP,"R5, R8",J1-0603,CRCW060310R0FKEAHP,Vishay Dale,CRCW060310R0FKEAHP,2,Digi-Key
100K 1%,Resistor 100K 1% 0603 Vishay CRCW0603100KFKEAHP,"R7, R10",J1-0603,CRCW0603100KFKEAHP,Vishay Dale,CRCW0603100KFKEAHP,2,Digi-Key
SAMD21E,IC MCU 32BIT 32KB FLASH 32QFN Atmel ATSAMD21E15L-MFT,U1,ATSAMD21E15L-MFT,ATSAMD21E15L-MFT,,,1,
MCP1702T-3302E/CB,IC REG LDO 3.3V 0.25A SOT23A-3 Microchip MCP1702T-3302E/CB,U3,MCP1702-SOT-23A,MCP1702,Microchip Technology,MCP1702T-3302E/CB,1,Digi-Key
USB_3_1,USB 3.1 Connector,"X1, X2, X3",USB_3.1,USB 3.1,Amphenol Commercial Products,12401548E4#2A,3,Digi-Key